TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,1190,2021.03.24 00:00,1727.09,1738.44,1723.72,1733.82,135962.0,1472.0000000000027,673.0000000000018
PERIOD_D1,XAUUSD,1189,2021.03.25 00:00,1734.53,1745.43,1721.69,1726.58,159575.0,2374.000000000001,795.0000000000045
PERIOD_D1,XAUUSD,1188,2021.03.26 00:00,1727.13,1736.67,1721.47,1732.39,131753.0,1520.0000000000045,525.9999999999991
PERIOD_D1,XAUUSD,1187,2021.03.29 00:00,1731.89,1733.09,1705.68,1711.68,132671.0,2740.9999999999854,2021.0000000000036
PERIOD_D1,XAUUSD,1186,2021.03.30 00:00,1712.35,1714.37,1678.69,1684.85,182714.0,3567.9999999999836,2750.0
PERIOD_D1,XAUUSD,1185,2021.03.31 00:00,1685.16,1715.12,1677.82,1707.01,185495.0,3729.9999999999955,2184.999999999991
PERIOD_D1,XAUUSD,1184,2021.04.01 00:00,1707.47,1730.47,1705.68,1730.35,218842.0,2478.9999999999964,2287.999999999988
PERIOD_D1,XAUUSD,1183,2021.04.05 00:00,1728.41,1733.47,1721.19,1728.37,158591.0,1227.9999999999973,4.000000000019099
PERIOD_D1,XAUUSD,1182,2021.04.06 00:00,1728.22,1745.44,1727.13,1743.03,198419.0,1830.9999999999945,1480.9999999999945
PERIOD_D1,XAUUSD,1181,2021.04.07 00:00,1742.86,1744.27,1730.51,1737.4,172730.0,1375.999999999999,545.9999999999809
PERIOD_D1,XAUUSD,1180,2021.04.08 00:00,1737.63,1758.61,1733.08,1755.78,179727.0,2552.9999999999973,1814.9999999999864
PERIOD_D1,XAUUSD,1179,2021.04.09 00:00,1755.46,1757.24,1731.07,1743.78,198227.0,2617.0000000000073,1168.0000000000064
PERIOD_D1,XAUUSD,1178,2021.04.12 00:00,1743.37,1744.99,1727.29,1732.7,179211.0,1770.0000000000045,1066.9999999999845
PERIOD_D1,XAUUSD,1177,2021.04.13 00:00,1732.37,1748.84,1723.64,1745.33,200725.0,2519.999999999982,1296.0000000000036
PERIOD_D1,XAUUSD,1176,2021.04.14 00:00,1745.41,1749.33,1732.52,1736.11,188880.0,1680.9999999999945,930.0000000000182
PERIOD_D1,XAUUSD,1175,2021.04.15 00:00,1736.16,1769.58,1734.26,1762.99,164505.0,3531.9999999999936,2682.9999999999927
PERIOD_D1,XAUUSD,1174,2021.04.16 00:00,1763.43,1783.78,1759.72,1776.76,160190.0,2405.9999999999945,1332.9999999999927
PERIOD_D1,XAUUSD,1173,2021.04.19 00:00,1776.23,1790.0,1766.66,1771.14,167562.0,2333.999999999992,508.9999999999918
PERIOD_D1,XAUUSD,1172,2021.04.20 00:00,1770.75,1780.37,1763.57,1778.66,164828.0,1679.9999999999955,791.0000000000082
PERIOD_D1,XAUUSD,1171,2021.04.21 00:00,1778.49,1797.6,1776.17,1793.67,138504.0,2142.9999999999836,1518.0000000000064
PERIOD_D1,XAUUSD,1170,2021.04.22 00:00,1793.62,1797.79,1777.32,1783.92,150900.0,2047.0000000000027,969.9999999999818
PERIOD_D1,XAUUSD,1169,2021.04.23 00:00,1783.45,1795.96,1769.9,1776.49,141241.0,2605.9999999999945,696.0000000000036
PERIOD_D1,XAUUSD,1168,2021.04.26 00:00,1775.72,1783.45,1768.49,1780.99,138524.0,1496.0000000000036,526.9999999999982
PERIOD_D1,XAUUSD,1167,2021.04.27 00:00,1781.06,1785.48,1773.64,1776.56,128343.0,1183.9999999999918,450.0
PERIOD_D1,XAUUSD,1166,2021.04.28 00:00,1776.49,1782.51,1762.52,1781.61,148948.0,1999.000000000001,511.9999999999891
PERIOD_D1,XAUUSD,1165,2021.04.29 00:00,1781.58,1789.94,1756.05,1772.25,141265.0,3389.00000000001,932.9999999999927
PERIOD_D1,XAUUSD,1164,2021.04.30 00:00,1772.58,1773.55,1764.17,1768.78,140245.0,937.9999999999882,379.99999999999545
PERIOD_D1,XAUUSD,1163,2021.05.03 00:00,1767.56,1797.84,1765.97,1793.11,125106.0,3186.999999999989,2554.9999999999955
PERIOD_D1,XAUUSD,1162,2021.05.04 00:00,1792.48,1799.09,1770.72,1778.98,151969.0,2836.999999999989,1350.0
PERIOD_D1,XAUUSD,1161,2021.05.05 00:00,1778.38,1787.9,1770.27,1786.73,116199.0,1763.000000000011,834.9999999999909
PERIOD_D1,XAUUSD,1160,2021.05.06 00:00,1786.72,1818.03,1781.91,1814.71,149125.0,3611.999999999989,2799.000000000001
PERIOD_D1,XAUUSD,1159,2021.05.07 00:00,1814.35,1843.27,1812.77,1831.28,162273.0,3050.0,1693.0000000000064
PERIOD_D1,XAUUSD,1158,2021.05.10 00:00,1832.23,1845.46,1829.94,1835.28,165592.0,1551.9999999999982,304.99999999999545
